,Borough,Neighborhoods,AverageIncome
0,Central,Cantonment area,18944.09979245654
1,Central,Domlur,56837.022198234714
2,Central,Indiranagar,41991.81743547267
3,Central,Jeevanbheemanagar,6667.4476321082975
4,Central,Malleswaram,53270.06389217012
5,Central,Pete area,50712.43021523708
6,Central,Rajajinagar,60967.53587427332
7,Central,Sadashivanagar,59943.54156361253
8,Central,Seshadripuram,58407.09033812763
9,Central,Shivajinagar,55850.962099072334
10,Central,Ulsoor,41007.21953621871
11,Central,Vasanth Nagar,26168.448091905742
12,Eastern,Bellandur,7227.731930160215
13,Eastern,CV Raman Nagar,54335.3687124637
14,Eastern,Hoodi,22591.063482789716
15,Eastern,Krishnarajapuram,36934.73772879752
16,Eastern,Mahadevapura,35915.97333307977
17,Eastern,Marathahalli,58448.65852401992
18,Eastern,Varthur,36433.267304465
19,Eastern,Whitefield,44637.984599169315
20,NorthEastern,Banaswadi,53349.70118376999
21,NorthEastern,HBR Layout,43625.38367775152
22,NorthEastern,Horamavu,13930.1957500067
23,NorthEastern,Kammanahalli,23146.347760771747
24,NorthEastern,Lingarajapuram,55404.53914338857
25,NorthEastern,Ramamurthy Nagar,56428.32977477706
26,Northern,Hebbal,39022.69413664342
27,Northern,Jalahalli,9836.954154007697
28,Northern,Mathikere,61046.8547226075
29,Northern,Peenya,24706.335040719383
30,Northern,R. T. Nagar,64644.48098601013
31,Northern,Vidyaranyapura,31889.365792390498
32,Northern,Yelahanka,5269.688406895912
33,Northern,Yeshwanthpur,27803.1615667128
34,SouthEastern,Bommanahalli,11422.449966114986
35,SouthEastern,Bommasandra,24735.99580706888
36,SouthEastern,BTM Layout,49310.618883719144
37,SouthEastern,Electronic City,8350.934536094868
38,SouthEastern,HSR Layout,45739.21629079126
39,SouthEastern,Koramangala,40110.28371493544
40,SouthEastern,Madiwala,15025.903387338003
41,Southern,Banashankari,57524.20952754348
42,Southern,Basavanagudi,63161.962217799715
43,Southern,Girinagar,41146.06024592518
44,Southern,J. P. Nagar,61115.38114862933
45,Southern,Jayanagar,8891.317322633713
46,Southern,Kumaraswamy Layout,10941.42038086904
47,Southern,Padmanabhanagar,47292.334640290304
48,Southern,Uttarahalli,63166.190375097256
49,SouthernSuburbs,Anjanapura,44218.922553156335
50,SouthernSuburbs,Arekere,29378.716626159352
51,SouthernSuburbs,Begur,61640.09829718396
52,SouthernSuburbs,Gottigere,25803.820489620888
53,SouthernSuburbs,Hulimavu,33486.51351773684
54,SouthernSuburbs,Kothnur,55508.825047347666
55,Western,Basaveshwaranagar,41177.478491510585
56,Western,Kamakshipalya,39132.402989714814
57,Western,Kengeri,19167.834099394968
58,Western,Mahalakshmi Layout,8416.293069212781
59,Western,Nagarbhavi,38627.41175976421
60,Western,Nandini Layout,32490.969169667056
61,Western,Nayandahalli,46826.80389245945
62,Western,Rajarajeshwari Nagar,12533.78528491645
63,Western,Vijayanagar,51966.782266844384
